代码,名称,收入同比%%,利润同比%%,营业利润率%%,市销率,市净率,市现率,市盈(动),总金额,量比,细分行业,地区
1,平安银行,34.09,15.02,32.78,3.64,1.12,0.93,7.31,3.27E+09,1.4,银行,深圳
2,万 科Ａ,22.72,0.77,17.35,3.13,1.8,-23.08,16.21,3.22E+09,1.33,全国地产,深圳
