代码,名称,收入同比%%,利润同比%%,营业利润率%%,市销率,市净率,市现率,市盈(动),总金额,量比,细分行业,地区
4,国农科技,117.08,125.75,10.98,36.85,26.93,-337.1,905.17,1.75E+08,0.79,生物制药,深圳
5,世纪星源,52.1,8.05,-64.57,148.17,8.32,155.1,NaN,0.00E+00,0,区域地产,深圳
