代码,名称,收入同比%%,利润同比%%,营业利润率%%,市销率,市净率,市现率,市盈(动),总金额,量比,细分行业,地区
6,深振业Ａ,311.53,425.18,17.93,6.29,3.01,-20.19,24.66,5.05E+08,0.82,区域地产,深圳
,,,,,,,,,,,,
